age,income,gender_male,education,race_Non-Hispanic Asian,race_Non-Hispanic Black,race_Non-Hispanic White,race_Other Hispanic,race_Other Race,marital_status_Never married,marital_status_Widowed/Divorced/Separated,num_meals_not_home,num_meals_fast_food,num_ready_foods_30_days,num_frozen_foods_30_days,num_home_cook
0.5333333333333333,0.11599999999999999,1,0.0,0,0,0,0,1,0,0,0.2857142857142857,0.14285714285714285,0.0,0.05555555555555555,0.5158730158730157
0.9833333333333333,0.246,1,0.25,0,0,1,0,0,0,0,0.0,0.0,0.0,0.011111111111111112,0.9888888888888889
0.8333333333333334,0.736,0,1.0,0,0,0,0,1,0,0,0.14285714285714285,0.09523809523809523,0.022222222222222223,0.05555555555555555,0.6841269841269841
0.08333333333333333,0.8,1,0.75,0,0,1,0,0,1,0,0.19047619047619047,0.14285714285714285,0.0,0.1111111111111111,0.5555555555555556
0.2,0.236,0,0.5,0,1,0,0,0,1,0,0.047619047619047616,0.0,0.011111111111111112,0.011111111111111112,0.9301587301587301
0.7166666666666667,0.388,1,0.25,0,0,0,0,0,0,0,0.0,0.0,0.044444444444444446,0.0,0.9555555555555556
0.5666666666666667,1.0,0,0.75,0,0,1,0,0,0,0,0.23809523809523808,0.047619047619047616,0.0,0.0,0.7142857142857142
0.5833333333333334,0.0,1,0.5,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0
1.0,0.696,1,1.0,0,0,1,0,0,0,0,0.0,0.0,0.022222222222222223,0.011111111111111112,0.9666666666666667
0.75,1.0,0,1.0,0,1,0,0,0,1,0,0.09523809523809523,0.09523809523809523,0.0,0.0,0.8095238095238095
0.65,0.318,0,0.25,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0
0.18333333333333332,1.0,0,1.0,1,0,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.05555555555555555,0.6111111111111112
0.6833333333333333,0.236,1,1.0,0,0,0,1,0,0,0,0.047619047619047616,0.0,0.011111111111111112,0.0,0.9412698412698413
0.31666666666666665,0.13999999999999999,0,0.25,0,0,0,1,0,0,1,0.23809523809523808,0.0,0.0,0.0,0.7619047619047619
0.3333333333333333,0.302,1,0.5,0,1,0,0,0,1,0,0.3333333333333333,0.047619047619047616,0.0,0.0,0.6190476190476191
0.6,0.43200000000000005,0,0.5,0,0,1,0,0,0,1,0.0,0.0,0.011111111111111112,0.0,0.9888888888888889
0.7,0.146,0,0.75,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
0.43333333333333335,0.616,0,0.75,0,1,0,0,0,0,0,0.047619047619047616,0.0,0.0,0.011111111111111112,0.9412698412698413
0.4666666666666667,0.606,0,0.25,0,0,1,0,0,0,0,0.23809523809523808,0.23809523809523808,0.0,0.0,0.5238095238095237
